op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
layernorm_stats_triton,_stats_kernel,miniworld_engine/kernels/layernorm_linear/triton/stats.py,46,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,K,1
layernorm_stats_triton,_stats_kernel,miniworld_engine/kernels/layernorm_linear/triton/stats.py,46,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
transition_bwd_epilogue_triton,_grad_mul_kernel,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,760,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
transition_bwd_swiglu_recompute_triton,_transition_expand_gatebwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,730,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
transition_bwd_swiglu_recompute_triton,_transition_expand_gatebwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,730,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
transition_bwd_swiglu_recompute_triton,_transition_expand_gatebwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,730,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
transition_bwd_swiglu_recompute_triton,_transition_expand_gatebwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,730,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
transition_bwd_transpose_packed_triton,_cdup_interleave_kernel,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,78,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,128,16,64,64,1,0,,
transition_bwd_transpose_packed_triton,_cdup_interleave_kernel,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,78,BLOCK_N,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
transition_expand_swiglu_triton,transition_fwd_kernel,miniworld_engine/kernels/transition/triton/main.py,34,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
transition_expand_swiglu_triton,transition_fwd_kernel,miniworld_engine/kernels/transition/triton/main.py,34,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
transition_expand_swiglu_triton,transition_fwd_kernel,miniworld_engine/kernels/transition/triton/main.py,34,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
transition_expand_swiglu_triton,transition_fwd_kernel,miniworld_engine/kernels/transition/triton/main.py,34,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
transition_fold_triton,_fold_kernel,miniworld_engine/kernels/transition/triton/fold.py,34,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,K,1
transition_fold_triton,_fold_kernel,miniworld_engine/kernels/transition/triton/fold.py,34,BLOCK_N,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
transition_fwd_b2b_ktiled_triton,_transition_b2b_ktiled_kernel,miniworld_engine/kernels/transition/triton/fused.py,566,BLOCK_K_D,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
transition_fwd_b2b_ktiled_triton,_transition_b2b_ktiled_kernel,miniworld_engine/kernels/transition/triton/fused.py,566,BLOCK_K_ND,64,128,16,32,64,16 32 64,64,32,64,64,1,1,ND,1
transition_fwd_b2b_ktiled_triton,_transition_b2b_ktiled_kernel,miniworld_engine/kernels/transition/triton/fused.py,566,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
transition_fwd_b2b_ktiled_triton,_transition_b2b_ktiled_kernel,miniworld_engine/kernels/transition/triton/fused.py,566,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
transition_fwd_b2b_triton,_transition_b2b_kernel,miniworld_engine/kernels/transition/triton/fused.py,294,BLOCK_K_D,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
transition_fwd_b2b_triton,_transition_b2b_kernel,miniworld_engine/kernels/transition/triton/fused.py,294,BLOCK_K_ND,64,128,16,32,64,16 32 64,64,32,64,64,1,1,ND,1
