kernel,backend,family,kind,level,width,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for
trimul_bwd_gate_recompute_triton,triton,tm1,gemm,token,pair,yes,bf16,miniworld_engine/kernels/tm1/triton/main.py,fused_sigmoid_gate_bwd_kernel,miniworld_engine.kernels.drivers.tm1:trimul_bwd_gate_recompute_triton,miniworld_engine.kernels.checks.tm1:trimul_bwd_gate_recompute_triton,1.1e-2,sm80,
trimul_gemm_gate_triton,triton,tm1,gemm,token,pair,yes,bf16,miniworld_engine/kernels/tm1/triton/main.py,fused_sigmoid_gate_fwd_kernel,miniworld_engine.kernels.drivers.tm1:trimul_gemm_gate_triton,miniworld_engine.kernels.checks.tm1:trimul_gemm_gate_triton,8.4e-3,sm80,
trimul_outproj_gemm_gate_sm90_cute,cute,tm2,elem,token,,,bf16,miniworld_engine/kernels/tm2/cute/tm2_cute_kernel.py,TM2DualKernel.kernel,miniworld_engine.kernels.drivers.tm2:tm2_dual_kernel,,,sm90,
trimul_outproj_bwd_gate_recompute_triton,triton,tm2,gemm,token,pair,yes,bf16,miniworld_engine/kernels/tm2/triton/main.py,fused_sigmoid_gate2_bwd_kernel,miniworld_engine.kernels.drivers.tm2:trimul_outproj_bwd_gate_recompute_triton,miniworld_engine.kernels.checks.tm2:trimul_outproj_bwd_gate_recompute_triton,1.3e-2,sm80,
trimul_outproj_gemm_gate_triton,triton,tm2,gemm,token,pair,yes,bf16,miniworld_engine/kernels/tm2/triton/main.py,fused_sigmoid_gate2_fwd_kernel,miniworld_engine.kernels.drivers.tm2:trimul_outproj_gemm_gate_triton,miniworld_engine.kernels.checks.tm2:trimul_outproj_gemm_gate_triton,8.3e-3,sm80,
transition_cast_cuda,cuda,transition,elem,both,,,bf16|fp32,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,cast_kernel,miniworld_engine.kernels.drivers.transition:transition_cast_cuda,miniworld_engine.kernels.checks.transition:transition_cast_cuda,1.5e-2,sm80,
transition_swiglu_cuda,cuda,transition,elem,both,,,bf16|fp32,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,swish_mul_kernel,miniworld_engine.kernels.drivers.transition:transition_swiglu_cuda,miniworld_engine.kernels.checks.transition:transition_swiglu_cuda,2.3e-2,sm80,
transition_bwd_cuda,cuda,transition,elem,both,,,bf16|fp32,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,transition_grad_kernel,miniworld_engine.kernels.drivers.transition:transition_bwd_cuda,miniworld_engine.kernels.checks.transition:transition_bwd_cuda,2.0e-2,sm80,
transition_bwd_swiglu_gate_sm100_cute,cute,transition,gemm,both,,,bf16|fp32,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,SwiGLUGateBwdKernel.kernel,miniworld_engine.kernels.drivers.transition:swiglu_gate_bwd_sm100,miniworld_engine.kernels.checks.transition:swiglu_gate_bwd_sm100,,sm100,
layernorm_bwd_foldstats_triton,triton,transition,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fused.py,_transition_ln_bwd_kernel,miniworld_engine.kernels.drivers.transition:layernorm_bwd_foldstats_triton,miniworld_engine.kernels.checks.transition:layernorm_bwd_foldstats_triton,9.1e-3,sm80,
layernorm_fwd_recompute_foldstats_triton,triton,transition,elem,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/cute/fused.py,_xn_recompute_kernel,miniworld_engine.kernels.drivers.transition:layernorm_fwd_recompute_foldstats_triton,miniworld_engine.kernels.checks.transition:layernorm_fwd_recompute_foldstats_triton,9.4e-3,sm80,
transition_bwd_epilogue_triton,triton,transition,elem,both,both,yes,bf16,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,_grad_mul_kernel,miniworld_engine.kernels.drivers.transition:transition_bwd_epilogue_triton,miniworld_engine.kernels.checks.transition:transition_bwd_epilogue_triton,1.1e-2,sm80,sm100
transition_bwd_swiglu_recompute_triton,triton,transition,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fused.py,_transition_expand_gatebwd_kernel,miniworld_engine.kernels.drivers.transition:transition_bwd_swiglu_recompute_triton,miniworld_engine.kernels.checks.transition:transition_bwd_swiglu_recompute_triton,1.5e-2,sm80,
transition_bwd_transpose_packed_triton,triton,transition,elem,both,both,yes,bf16,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,_cdup_interleave_kernel,miniworld_engine.kernels.drivers.transition:transition_bwd_transpose_packed_triton,miniworld_engine.kernels.checks.transition:transition_bwd_transpose_packed_triton,1.0e-4,sm80,
transition_expand_swiglu_triton,triton,transition,gemm,both,both,yes,bf16,miniworld_engine/kernels/transition/triton/main.py,transition_fwd_kernel,miniworld_engine.kernels.drivers.transition:transition_expand_swiglu_triton,miniworld_engine.kernels.checks.transition:transition_expand_swiglu_triton,1.2e-2,sm80,
transition_fold_triton,triton,transition,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fold.py,_fold_kernel,miniworld_engine.kernels.drivers.transition:transition_fold_triton,miniworld_engine.kernels.checks.transition:transition_fold_triton,5.0e-7,sm80,
transition_fwd_b2b_ktiled_triton,triton,transition,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fused.py,_transition_b2b_ktiled_kernel,miniworld_engine.kernels.drivers.transition:transition_fwd_b2b_ktiled_triton,miniworld_engine.kernels.checks.transition:transition_fwd_b2b_ktiled_triton,1.4e-2,sm80,
transition_fwd_b2b_triton,triton,transition,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fused.py,_transition_b2b_kernel,miniworld_engine.kernels.drivers.transition:transition_fwd_b2b_triton,miniworld_engine.kernels.checks.transition:transition_fwd_b2b_triton,1.1e-2,sm80,
transition_layernorm_expand_swiglu_triton,triton,transition,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/transition/triton/fused.py,_transition_expand_gate_kernel,miniworld_engine.kernels.drivers.transition:transition_layernorm_expand_swiglu_triton,miniworld_engine.kernels.checks.transition:transition_layernorm_expand_swiglu_triton,1.5e-2,sm80,
triangle_attention_bwd_atomic_triton,triton,triangle_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/atomic.py,_attn_bwd,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_bwd_atomic_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_bwd_atomic_triton,,sm80,
triangle_attention_bwd_dkdv_triton,triton,triangle_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/main.py,_attn_bwd_dkdv,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_bwd_dkdv_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_bwd_dkdv_triton,2.2e-2,sm80,
triangle_attention_bwd_dq_triton,triton,triangle_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/main.py,_attn_bwd_dq,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_bwd_dq_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_bwd_dq_triton,2.2e-2,sm80,
triangle_attention_bwd_pre_contig_triton,triton,triangle_attention,reduce,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/atomic.py,_attn_bwd_preprocess,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_bwd_pre_contig_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_bwd_pre_contig_triton,2.5e-2,sm80,
triangle_attention_bwd_pre_triton,triton,triangle_attention,reduce,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/main.py,_attn_bwd_preprocess,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_bwd_pre_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_bwd_pre_triton,5.4e-7,sm80,
triangle_attention_fwd_contig_triton,triton,triangle_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/atomic.py,_attn_fwd,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_fwd_contig_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_fwd_contig_triton,1.1e-2,sm80,
triangle_attention_fwd_triton,triton,triangle_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/triangle_attention/triton/main.py,_attn_fwd,miniworld_engine.kernels.drivers.triangle_attention:triangle_attention_fwd_triton,miniworld_engine.kernels.checks.triangle_attention:triangle_attention_fwd_triton,1.1e-2,sm80,
